date,Micron
2020-08-02,56
2020-08-09,53
2020-08-16,55
2020-08-23,53
2020-08-30,56
2020-09-06,53
2020-09-13,56
2020-09-20,52
2020-09-27,57
2020-10-04,52
2020-10-11,50
2020-10-18,48
2020-10-25,47
2020-11-01,44
2020-11-08,46
2020-11-15,51
2020-11-22,49
2020-11-29,56
2020-12-06,51
2020-12-13,46
2020-12-20,40
2020-12-27,39
2021-01-03,55
2021-01-10,51
2021-01-17,54
2021-01-24,52
2021-01-31,54
2021-02-07,52
2021-02-14,47
2021-02-21,52
2021-02-28,52
2021-03-07,47
2021-03-14,54
2021-03-21,52
2021-03-28,56
2021-04-04,50
2021-04-11,51
2021-04-18,53
2021-04-25,46
2021-05-02,47
2021-05-09,47
2021-05-16,47
2021-05-23,46
2021-05-30,42
2021-06-06,49
2021-06-13,44
2021-06-20,46
2021-06-27,58
2021-07-04,48
2021-07-11,49
2021-07-18,44
2021-07-25,49
2021-08-01,48
2021-08-08,55
2021-08-15,50
2021-08-22,48
2021-08-29,49
2021-09-05,41
2021-09-12,45
2021-09-19,45
2021-09-26,52
2021-10-03,45
2021-10-10,46
2021-10-17,50
2021-10-24,47
2021-10-31,44
2021-11-07,48
2021-11-14,49
2021-11-21,53
2021-11-28,85
2021-12-05,62
2021-12-12,59
2021-12-19,69
2021-12-26,64
2022-01-02,79
2022-01-09,78
2022-01-16,64
2022-01-23,66
2022-01-30,64
2022-02-06,61
2022-02-13,67
2022-02-20,57
2022-02-27,57
2022-03-06,58
2022-03-13,63
2022-03-20,58
2022-03-27,65
2022-04-03,59
2022-04-10,52
2022-04-17,52
2022-04-24,55
2022-05-01,52
2022-05-08,55
2022-05-15,51
2022-05-22,51
2022-05-29,48
2022-06-05,49
2022-06-12,53
2022-06-19,52
2022-06-26,61
2022-07-03,52
2022-07-10,52
2022-07-17,54
2022-07-24,53
2022-07-31,52
2022-08-07,58
2022-08-14,52
2022-08-21,52
2022-08-28,53
2022-09-04,47
2022-09-11,51
2022-09-18,52
2022-09-25,55
2022-10-02,65
2022-10-09,52
2022-10-16,51
2022-10-23,55
2022-10-30,48
2022-11-06,48
2022-11-13,52
2022-11-20,45
2022-11-27,50
2022-12-04,48
2022-12-11,51
2022-12-18,57
2022-12-25,42
2023-01-01,48
2023-01-08,50
2023-01-15,48
2023-01-22,49
2023-01-29,56
2023-02-05,54
2023-02-12,52
2023-02-19,52
2023-02-26,50
2023-03-05,49
2023-03-12,49
2023-03-19,49
2023-03-26,58
2023-04-02,53
2023-04-09,51
2023-04-16,48
2023-04-23,50
2023-04-30,45
2023-05-07,46
2023-05-14,52
2023-05-21,76
2023-05-28,55
2023-06-04,52
2023-06-11,52
2023-06-18,59
2023-06-25,62
2023-07-02,52
2023-07-09,53
2023-07-16,50
2023-07-23,56
2023-07-30,54
2023-08-06,57
2023-08-13,50
2023-08-20,53
2023-08-27,48
2023-09-03,48
2023-09-10,51
2023-09-17,53
2023-09-24,60
2023-10-01,51
2023-10-08,50
2023-10-15,52
2023-10-22,52
2023-10-29,49
2023-11-05,50
2023-11-12,50
2023-11-19,50
2023-11-26,48
2023-12-03,50
2023-12-10,51
2023-12-17,56
2023-12-24,40
2023-12-31,49
2024-01-07,56
2024-01-14,52
2024-01-21,56
2024-01-28,60
2024-02-04,56
2024-02-11,58
2024-02-18,57
2024-02-25,66
2024-03-03,65
2024-03-10,62
2024-03-17,86
2024-03-24,74
2024-03-31,74
2024-04-07,72
2024-04-14,67
2024-04-21,66
2024-04-28,60
2024-05-05,59
2024-05-12,61
2024-05-19,62
2024-05-26,60
2024-06-02,61
2024-06-09,66
2024-06-16,81
2024-06-23,98
2024-06-30,65
2024-07-07,67
2024-07-14,67
2024-07-21,66
2024-07-28,66
2024-08-04,68
2024-08-11,65
2024-08-18,65
2024-08-25,65
2024-09-01,63
2024-09-08,68
2024-09-15,67
2024-09-22,99
2024-09-29,68
2024-10-06,69
2024-10-13,67
2024-10-20,67
2024-10-27,62
2024-11-03,65
2024-11-10,66
2024-11-17,67
2024-11-24,62
2024-12-01,62
2024-12-08,73
2024-12-15,100
2024-12-22,57
2024-12-29,58
2025-01-05,90
2025-01-12,73
2025-01-19,74
2025-01-26,75
2025-02-02,70
2025-02-09,68
2025-02-16,72
2025-02-23,65
2025-03-02,69
2025-03-09,67
2025-03-16,76
2025-03-23,66
2025-03-30,69
2025-04-06,78
2025-04-13,65
2025-04-20,64
2025-04-27,59
2025-05-04,62
2025-05-11,69
2025-05-18,63
2025-05-25,61
2025-06-01,72
2025-06-08,70
2025-06-15,72
2025-06-22,93
2025-06-29,65
2025-07-06,70
2025-07-13,78
2025-07-20,77
2025-07-27,85
