date,Nest Thermostat price
2020-08-02,20
2020-08-09,14
2020-08-16,23
2020-08-23,15
2020-08-30,21
2020-09-06,22
2020-09-13,19
2020-09-20,23
2020-09-27,21
2020-10-04,29
2020-10-11,21
2020-10-18,20
2020-10-25,25
2020-11-01,16
2020-11-08,21
2020-11-15,31
2020-11-22,49
2020-11-29,30
2020-12-06,21
2020-12-13,14
2020-12-20,24
2020-12-27,32
2021-01-03,18
2021-01-10,16
2021-01-17,16
2021-01-24,21
2021-01-31,0
2021-02-07,19
2021-02-14,0
2021-02-21,16
2021-02-28,23
2021-03-07,0
2021-03-14,14
2021-03-21,13
2021-03-28,17
2021-04-04,0
2021-04-11,14
2021-04-18,18
2021-04-25,0
2021-05-02,25
2021-05-09,24
2021-05-16,0
2021-05-23,18
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,24
2021-06-27,16
2021-07-04,21
2021-07-11,17
2021-07-18,14
2021-07-25,0
2021-08-01,15
2021-08-08,26
2021-08-15,0
2021-08-22,16
2021-08-29,0
2021-09-05,21
2021-09-12,34
2021-09-19,14
2021-09-26,18
2021-10-03,17
2021-10-10,0
2021-10-17,19
2021-10-24,23
2021-10-31,31
2021-11-07,19
2021-11-14,30
2021-11-21,17
2021-11-28,19
2021-12-05,20
2021-12-12,22
2021-12-19,18
2021-12-26,0
2022-01-02,0
2022-01-09,20
2022-01-16,19
2022-01-23,17
2022-01-30,28
2022-02-06,29
2022-02-13,19
2022-02-20,14
2022-02-27,12
2022-03-06,11
2022-03-13,0
2022-03-20,0
2022-03-27,10
2022-04-03,10
2022-04-10,17
2022-04-17,22
2022-04-24,13
2022-05-01,16
2022-05-08,20
2022-05-15,18
2022-05-22,11
2022-05-29,19
2022-06-05,0
2022-06-12,16
2022-06-19,26
2022-06-26,22
2022-07-03,20
2022-07-10,22
2022-07-17,17
2022-07-24,0
2022-07-31,18
2022-08-07,19
2022-08-14,23
2022-08-21,0
2022-08-28,0
2022-09-04,23
2022-09-11,0
2022-09-18,20
2022-09-25,16
2022-10-02,28
2022-10-09,19
2022-10-16,0
2022-10-23,25
2022-10-30,17
2022-11-06,18
2022-11-13,29
2022-11-20,28
2022-11-27,24
2022-12-04,16
2022-12-11,13
2022-12-18,25
2022-12-25,19
2023-01-01,14
2023-01-08,13
2023-01-15,17
2023-01-22,0
2023-01-29,13
2023-02-05,11
2023-02-12,14
2023-02-19,0
2023-02-26,14
2023-03-05,11
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,12
2023-04-16,17
2023-04-23,0
2023-04-30,15
2023-05-07,0
2023-05-14,0
2023-05-21,16
2023-05-28,0
2023-06-04,12
2023-06-11,17
2023-06-18,12
2023-06-25,15
2023-07-02,11
2023-07-09,0
2023-07-16,17
2023-07-23,0
2023-07-30,0
2023-08-06,13
2023-08-13,0
2023-08-20,0
2023-08-27,13
2023-09-03,0
2023-09-10,12
2023-09-17,0
2023-09-24,0
2023-10-01,13
2023-10-08,11
2023-10-15,20
2023-10-22,12
2023-10-29,26
2023-11-05,15
2023-11-12,20
2023-11-19,19
2023-11-26,0
2023-12-03,13
2023-12-10,16
2023-12-17,15
2023-12-24,18
2023-12-31,0
2024-01-07,0
2024-01-14,19
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,16
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,0
2024-04-28,0
2024-05-05,0
2024-05-12,0
2024-05-19,20
2024-05-26,0
2024-06-02,0
2024-06-09,0
2024-06-16,0
2024-06-23,0
2024-06-30,0
2024-07-07,0
2024-07-14,0
2024-07-21,0
2024-07-28,13
2024-08-04,0
2024-08-11,0
2024-08-18,0
2024-08-25,0
2024-09-01,0
2024-09-08,0
2024-09-15,0
2024-09-22,0
2024-09-29,0
2024-10-06,0
2024-10-13,0
2024-10-20,0
2024-10-27,0
2024-11-03,23
2024-11-10,0
2024-11-17,17
2024-11-24,27
2024-12-01,19
2024-12-08,18
2024-12-15,16
2024-12-22,16
2024-12-29,0
2025-01-05,24
2025-01-12,15
2025-01-19,0
2025-01-26,17
2025-02-02,0
2025-02-09,17
2025-02-16,14
2025-02-23,0
2025-03-02,0
2025-03-09,0
2025-03-16,0
2025-03-23,0
2025-03-30,0
2025-04-06,0
2025-04-13,0
2025-04-20,18
2025-04-27,0
2025-05-04,0
2025-05-11,0
2025-05-18,0
2025-05-25,0
2025-06-01,30
2025-06-08,0
2025-06-15,19
2025-06-22,20
2025-06-29,15
2025-07-06,22
2025-07-13,44
2025-07-20,49
2025-07-27,100
