date,Eli Lilly stock price
2020-08-02,14
2020-08-09,12
2020-08-16,7
2020-08-23,9
2020-08-30,8
2020-09-06,7
2020-09-13,11
2020-09-20,7
2020-09-27,6
2020-10-04,20
2020-10-11,18
2020-10-18,11
2020-10-25,15
2020-11-01,10
2020-11-08,26
2020-11-15,13
2020-11-22,15
2020-11-29,11
2020-12-06,13
2020-12-13,13
2020-12-20,11
2020-12-27,9
2021-01-03,10
2021-01-10,18
2021-01-17,16
2021-01-24,20
2021-01-31,15
2021-02-07,16
2021-02-14,12
2021-02-21,12
2021-02-28,13
2021-03-07,11
2021-03-14,19
2021-03-21,15
2021-03-28,8
2021-04-04,10
2021-04-11,9
2021-04-18,14
2021-04-25,10
2021-05-02,12
2021-05-09,14
2021-05-16,9
2021-05-23,9
2021-05-30,11
2021-06-06,15
2021-06-13,12
2021-06-20,13
2021-06-27,12
2021-07-04,10
2021-07-11,11
2021-07-18,11
2021-07-25,10
2021-08-01,16
2021-08-08,13
2021-08-15,15
2021-08-22,13
2021-08-29,12
2021-09-05,11
2021-09-12,13
2021-09-19,12
2021-09-26,9
2021-10-03,10
2021-10-10,11
2021-10-17,11
2021-10-24,14
2021-10-31,10
2021-11-07,12
2021-11-14,12
2021-11-21,9
2021-11-28,14
2021-12-05,11
2021-12-12,19
2021-12-19,20
2021-12-26,15
2022-01-02,13
2022-01-09,11
2022-01-16,9
2022-01-23,13
2022-01-30,12
2022-02-06,12
2022-02-13,9
2022-02-20,8
2022-02-27,10
2022-03-06,9
2022-03-13,10
2022-03-20,10
2022-03-27,11
2022-04-03,13
2022-04-10,11
2022-04-17,7
2022-04-24,13
2022-05-01,10
2022-05-08,14
2022-05-15,15
2022-05-22,12
2022-05-29,10
2022-06-05,15
2022-06-12,14
2022-06-19,11
2022-06-26,11
2022-07-03,9
2022-07-10,13
2022-07-17,9
2022-07-24,13
2022-07-31,12
2022-08-07,11
2022-08-14,13
2022-08-21,10
2022-08-28,9
2022-09-04,9
2022-09-11,10
2022-09-18,13
2022-09-25,13
2022-10-02,15
2022-10-09,8
2022-10-16,11
2022-10-23,14
2022-10-30,18
2022-11-06,79
2022-11-13,68
2022-11-20,12
2022-11-27,18
2022-12-04,12
2022-12-11,12
2022-12-18,11
2022-12-25,11
2023-01-01,22
2023-01-08,15
2023-01-15,11
2023-01-22,16
2023-01-29,19
2023-02-05,16
2023-02-12,10
2023-02-19,10
2023-02-26,21
2023-03-05,15
2023-03-12,13
2023-03-19,15
2023-03-26,13
2023-04-02,20
2023-04-09,20
2023-04-16,19
2023-04-23,28
2023-04-30,36
2023-05-07,26
2023-05-14,25
2023-05-21,18
2023-05-28,17
2023-06-04,24
2023-06-11,31
2023-06-18,22
2023-06-25,38
2023-07-02,26
2023-07-09,25
2023-07-16,31
2023-07-23,26
2023-07-30,21
2023-08-06,55
2023-08-13,37
2023-08-20,29
2023-08-27,30
2023-09-03,30
2023-09-10,34
2023-09-17,34
2023-09-24,23
2023-10-01,29
2023-10-08,30
2023-10-15,33
2023-10-22,25
2023-10-29,38
2023-11-05,55
2023-11-12,42
2023-11-19,28
2023-11-26,41
2023-12-03,36
2023-12-10,40
2023-12-17,41
2023-12-24,25
2023-12-31,42
2024-01-07,45
2024-01-14,35
2024-01-21,45
2024-01-28,40
2024-02-04,83
2024-02-11,62
2024-02-18,59
2024-02-25,64
2024-03-03,73
2024-03-10,61
2024-03-17,54
2024-03-24,47
2024-03-31,46
2024-04-07,40
2024-04-14,40
2024-04-21,42
2024-04-28,52
2024-05-05,44
2024-05-12,36
2024-05-19,46
2024-05-26,41
2024-06-02,48
2024-06-09,73
2024-06-16,59
2024-06-23,62
2024-06-30,76
2024-07-07,77
2024-07-14,72
2024-07-21,63
2024-07-28,65
2024-08-04,89
2024-08-11,68
2024-08-18,76
2024-08-25,63
2024-09-01,52
2024-09-08,52
2024-09-15,54
2024-09-22,54
2024-09-29,49
2024-10-06,51
2024-10-13,48
2024-10-20,48
2024-10-27,62
2024-11-03,68
2024-11-10,68
2024-11-17,65
2024-11-24,49
2024-12-01,61
2024-12-08,55
2024-12-15,66
2024-12-22,55
2024-12-29,46
2025-01-05,49
2025-01-12,66
2025-01-19,59
2025-01-26,70
2025-02-02,73
2025-02-09,60
2025-02-16,54
2025-02-23,63
2025-03-02,63
2025-03-09,62
2025-03-16,50
2025-03-23,45
2025-03-30,65
2025-04-06,79
2025-04-13,77
2025-04-20,64
2025-04-27,81
2025-05-04,63
2025-05-11,89
2025-05-18,57
2025-05-25,55
2025-06-01,63
2025-06-08,63
2025-06-15,52
2025-06-22,66
2025-06-29,44
2025-07-06,51
2025-07-13,60
2025-07-20,62
2025-07-27,100
