date,Snowflake
2020-08-02,11
2020-08-09,11
2020-08-16,12
2020-08-23,16
2020-08-30,14
2020-09-06,25
2020-09-13,100
2020-09-20,27
2020-09-27,21
2020-10-04,19
2020-10-11,17
2020-10-18,18
2020-10-25,17
2020-11-01,18
2020-11-08,22
2020-11-15,25
2020-11-22,31
2020-11-29,45
2020-12-06,47
2020-12-13,43
2020-12-20,34
2020-12-27,20
2021-01-03,21
2021-01-10,21
2021-01-17,16
2021-01-24,17
2021-01-31,15
2021-02-07,16
2021-02-14,16
2021-02-21,13
2021-02-28,15
2021-03-07,14
2021-03-14,12
2021-03-21,11
2021-03-28,12
2021-04-04,12
2021-04-11,14
2021-04-18,12
2021-04-25,11
2021-05-02,12
2021-05-09,12
2021-05-16,12
2021-05-23,15
2021-05-30,13
2021-06-06,15
2021-06-13,14
2021-06-20,12
2021-06-27,12
2021-07-04,11
2021-07-11,12
2021-07-18,12
2021-07-25,12
2021-08-01,12
2021-08-08,11
2021-08-15,12
2021-08-22,13
2021-08-29,12
2021-09-05,12
2021-09-12,12
2021-09-19,12
2021-09-26,12
2021-10-03,13
2021-10-10,13
2021-10-17,14
2021-10-24,14
2021-10-31,17
2021-11-07,20
2021-11-14,25
2021-11-21,27
2021-11-28,40
2021-12-05,40
2021-12-12,39
2021-12-19,34
2021-12-26,19
2022-01-02,20
2022-01-09,19
2022-01-16,16
2022-01-23,16
2022-01-30,17
2022-02-06,16
2022-02-13,14
2022-02-20,14
2022-02-27,17
2022-03-06,14
2022-03-13,14
2022-03-20,14
2022-03-27,16
2022-04-03,15
2022-04-10,14
2022-04-17,16
2022-04-24,16
2022-05-01,17
2022-05-08,17
2022-05-15,15
2022-05-22,17
2022-05-29,14
2022-06-05,15
2022-06-12,17
2022-06-19,22
2022-06-26,32
2022-07-03,25
2022-07-10,20
2022-07-17,19
2022-07-24,17
2022-07-31,16
2022-08-07,16
2022-08-14,16
2022-08-21,19
2022-08-28,16
2022-09-04,16
2022-09-11,18
2022-09-18,19
2022-09-25,18
2022-10-02,17
2022-10-09,18
2022-10-16,18
2022-10-23,19
2022-10-30,22
2022-11-06,24
2022-11-13,30
2022-11-20,28
2022-11-27,43
2022-12-04,44
2022-12-11,43
2022-12-18,39
2022-12-25,21
2023-01-01,21
2023-01-08,21
2023-01-15,20
2023-01-22,21
2023-01-29,21
2023-02-05,18
2023-02-12,18
2023-02-19,18
2023-02-26,20
2023-03-05,18
2023-03-12,18
2023-03-19,17
2023-03-26,17
2023-04-02,16
2023-04-09,17
2023-04-16,17
2023-04-23,17
2023-04-30,16
2023-05-07,17
2023-05-14,16
2023-05-21,18
2023-05-28,15
2023-06-04,17
2023-06-11,17
2023-06-18,17
2023-06-25,19
2023-07-02,16
2023-07-09,18
2023-07-16,18
2023-07-23,17
2023-07-30,17
2023-08-06,18
2023-08-13,16
2023-08-20,19
2023-08-27,18
2023-09-03,16
2023-09-10,18
2023-09-17,18
2023-09-24,18
2023-10-01,18
2023-10-08,18
2023-10-15,19
2023-10-22,19
2023-10-29,21
2023-11-05,25
2023-11-12,27
2023-11-19,29
2023-11-26,44
2023-12-03,48
2023-12-10,47
2023-12-17,41
2023-12-24,23
2023-12-31,21
2024-01-07,25
2024-01-14,22
2024-01-21,22
2024-01-28,24
2024-02-04,23
2024-02-11,22
2024-02-18,19
2024-02-25,31
2024-03-03,23
2024-03-10,21
2024-03-17,21
2024-03-24,19
2024-03-31,19
2024-04-07,20
2024-04-14,20
2024-04-21,21
2024-04-28,18
2024-05-05,19
2024-05-12,20
2024-05-19,21
2024-05-26,22
2024-06-02,25
2024-06-09,23
2024-06-16,22
2024-06-23,21
2024-06-30,18
2024-07-07,21
2024-07-14,22
2024-07-21,22
2024-07-28,20
2024-08-04,19
2024-08-11,19
2024-08-18,24
2024-08-25,20
2024-09-01,19
2024-09-08,20
2024-09-15,20
2024-09-22,21
2024-09-29,20
2024-10-06,21
2024-10-13,22
2024-10-20,24
2024-10-27,23
2024-11-03,28
2024-11-10,32
2024-11-17,43
2024-11-24,35
2024-12-01,56
2024-12-08,52
2024-12-15,51
2024-12-22,30
2024-12-29,22
2025-01-05,29
2025-01-12,26
2025-01-19,25
2025-01-26,24
2025-02-02,23
2025-02-09,23
2025-02-16,22
2025-02-23,23
2025-03-02,23
2025-03-09,21
2025-03-16,22
2025-03-23,21
2025-03-30,21
2025-04-06,20
2025-04-13,18
2025-04-20,20
2025-04-27,19
2025-05-04,19
2025-05-11,20
2025-05-18,22
2025-05-25,19
2025-06-01,24
2025-06-08,23
2025-06-15,22
2025-06-22,23
2025-06-29,20
2025-07-06,21
2025-07-13,22
2025-07-20,23
2025-07-27,25
