date,AMD news
2020-08-02,22
2020-08-09,22
2020-08-16,19
2020-08-23,16
2020-08-30,24
2020-09-06,23
2020-09-13,18
2020-09-20,18
2020-09-27,19
2020-10-04,29
2020-10-11,18
2020-10-18,18
2020-10-25,30
2020-11-01,21
2020-11-08,20
2020-11-15,17
2020-11-22,14
2020-11-29,14
2020-12-06,13
2020-12-13,14
2020-12-20,13
2020-12-27,11
2021-01-03,15
2021-01-10,17
2021-01-17,15
2021-01-24,19
2021-01-31,15
2021-02-07,14
2021-02-14,12
2021-02-21,13
2021-02-28,12
2021-03-07,12
2021-03-14,12
2021-03-21,11
2021-03-28,10
2021-04-04,11
2021-04-11,13
2021-04-18,12
2021-04-25,14
2021-05-02,13
2021-05-09,12
2021-05-16,11
2021-05-23,10
2021-05-30,11
2021-06-06,11
2021-06-13,12
2021-06-20,12
2021-06-27,14
2021-07-04,11
2021-07-11,10
2021-07-18,12
2021-07-25,14
2021-08-01,16
2021-08-08,12
2021-08-15,13
2021-08-22,11
2021-08-29,10
2021-09-05,9
2021-09-12,10
2021-09-19,10
2021-09-26,10
2021-10-03,9
2021-10-10,10
2021-10-17,12
2021-10-24,14
2021-10-31,11
2021-11-07,17
2021-11-14,14
2021-11-21,12
2021-11-28,14
2021-12-05,14
2021-12-12,13
2021-12-19,12
2021-12-26,12
2022-01-02,16
2022-01-09,13
2022-01-16,13
2022-01-23,14
2022-01-30,16
2022-02-06,14
2022-02-13,14
2022-02-20,15
2022-02-27,17
2022-03-06,13
2022-03-13,14
2022-03-20,12
2022-03-27,14
2022-04-03,14
2022-04-10,13
2022-04-17,13
2022-04-24,12
2022-05-01,15
2022-05-08,13
2022-05-15,12
2022-05-22,13
2022-05-29,13
2022-06-05,14
2022-06-12,14
2022-06-19,14
2022-06-26,15
2022-07-03,13
2022-07-10,13
2022-07-17,14
2022-07-24,13
2022-07-31,19
2022-08-07,14
2022-08-14,14
2022-08-21,12
2022-08-28,12
2022-09-04,10
2022-09-11,10
2022-09-18,10
2022-09-25,10
2022-10-02,12
2022-10-09,11
2022-10-16,9
2022-10-23,8
2022-10-30,12
2022-11-06,11
2022-11-13,10
2022-11-20,7
2022-11-27,8
2022-12-04,7
2022-12-11,8
2022-12-18,7
2022-12-25,7
2023-01-01,8
2023-01-08,8
2023-01-15,8
2023-01-22,9
2023-01-29,11
2023-02-05,8
2023-02-12,8
2023-02-19,8
2023-02-26,8
2023-03-05,8
2023-03-12,10
2023-03-19,10
2023-03-26,8
2023-04-02,8
2023-04-09,7
2023-04-16,9
2023-04-23,7
2023-04-30,13
2023-05-07,9
2023-05-14,9
2023-05-21,13
2023-05-28,10
2023-06-04,10
2023-06-11,16
2023-06-18,11
2023-06-25,11
2023-07-02,10
2023-07-09,11
2023-07-16,11
2023-07-23,11
2023-07-30,14
2023-08-06,11
2023-08-13,9
2023-08-20,12
2023-08-27,11
2023-09-03,9
2023-09-10,9
2023-09-17,9
2023-09-24,9
2023-10-01,9
2023-10-08,10
2023-10-15,9
2023-10-22,11
2023-10-29,13
2023-11-05,10
2023-11-12,9
2023-11-19,9
2023-11-26,9
2023-12-03,14
2023-12-10,11
2023-12-17,11
2023-12-24,10
2023-12-31,11
2024-01-07,11
2024-01-14,16
2024-01-21,19
2024-01-28,20
2024-02-04,15
2024-02-11,13
2024-02-18,15
2024-02-25,19
2024-03-03,18
2024-03-10,16
2024-03-17,17
2024-03-24,15
2024-03-31,16
2024-04-07,14
2024-04-14,14
2024-04-21,13
2024-04-28,16
2024-05-05,10
2024-05-12,11
2024-05-19,14
2024-05-26,13
2024-06-02,17
2024-06-09,14
2024-06-16,15
2024-06-23,11
2024-06-30,12
2024-07-07,14
2024-07-14,16
2024-07-21,12
2024-07-28,21
2024-08-04,17
2024-08-11,14
2024-08-18,16
2024-08-25,13
2024-09-01,10
2024-09-08,11
2024-09-15,11
2024-09-22,12
2024-09-29,13
2024-10-06,16
2024-10-13,14
2024-10-20,12
2024-10-27,20
2024-11-03,16
2024-11-10,16
2024-11-17,14
2024-11-24,12
2024-12-01,14
2024-12-08,17
2024-12-15,16
2024-12-22,15
2024-12-29,14
2025-01-05,22
2025-01-12,17
2025-01-19,14
2025-01-26,19
2025-02-02,25
2025-02-09,16
2025-02-16,15
2025-02-23,20
2025-03-02,18
2025-03-09,15
2025-03-16,14
2025-03-23,15
2025-03-30,14
2025-04-06,19
2025-04-13,14
2025-04-20,13
2025-04-27,13
2025-05-04,19
2025-05-11,17
2025-05-18,14
2025-05-25,12
2025-06-01,15
2025-06-08,22
2025-06-15,26
2025-06-22,25
2025-06-29,19
2025-07-06,20
2025-07-13,34
2025-07-20,43
2025-07-27,100
