date,Home Depot vs Home Depot
2020-08-02,70
2020-08-09,67
2020-08-16,73
2020-08-23,66
2020-08-30,72
2020-09-06,77
2020-09-13,68
2020-09-20,65
2020-09-27,64
2020-10-04,64
2020-10-11,57
2020-10-18,56
2020-10-25,57
2020-11-01,57
2020-11-08,63
2020-11-15,62
2020-11-22,81
2020-11-29,71
2020-12-06,60
2020-12-13,54
2020-12-20,64
2020-12-27,72
2021-01-03,56
2021-01-10,55
2021-01-17,60
2021-01-24,57
2021-01-31,54
2021-02-07,50
2021-02-14,55
2021-02-21,55
2021-02-28,57
2021-03-07,58
2021-03-14,59
2021-03-21,66
2021-03-28,72
2021-04-04,75
2021-04-11,71
2021-04-18,67
2021-04-25,62
2021-05-02,65
2021-05-09,64
2021-05-16,71
2021-05-23,70
2021-05-30,71
2021-06-06,67
2021-06-13,63
2021-06-20,59
2021-06-27,64
2021-07-04,60
2021-07-11,60
2021-07-18,56
2021-07-25,55
2021-08-01,48
2021-08-08,49
2021-08-15,49
2021-08-22,52
2021-08-29,51
2021-09-05,55
2021-09-12,48
2021-09-19,50
2021-09-26,48
2021-10-03,48
2021-10-10,52
2021-10-17,47
2021-10-24,47
2021-10-31,49
2021-11-07,51
2021-11-14,53
2021-11-21,64
2021-11-28,56
2021-12-05,49
2021-12-12,49
2021-12-19,45
2021-12-26,60
2022-01-02,59
2022-01-09,60
2022-01-16,59
2022-01-23,58
2022-01-30,57
2022-02-06,50
2022-02-13,53
2022-02-20,57
2022-02-27,56
2022-03-06,54
2022-03-13,60
2022-03-20,64
2022-03-27,68
2022-04-03,66
2022-04-10,71
2022-04-17,73
2022-04-24,71
2022-05-01,69
2022-05-08,71
2022-05-15,70
2022-05-22,74
2022-05-29,73
2022-06-05,68
2022-06-12,71
2022-06-19,69
2022-06-26,68
2022-07-03,67
2022-07-10,64
2022-07-17,62
2022-07-24,58
2022-07-31,62
2022-08-07,62
2022-08-14,62
2022-08-21,59
2022-08-28,63
2022-09-04,63
2022-09-11,56
2022-09-18,54
2022-09-25,55
2022-10-02,54
2022-10-09,55
2022-10-16,55
2022-10-23,54
2022-10-30,56
2022-11-06,58
2022-11-13,61
2022-11-20,83
2022-11-27,67
2022-12-04,57
2022-12-11,54
2022-12-18,52
2022-12-25,57
2023-01-01,56
2023-01-08,53
2023-01-15,55
2023-01-22,53
2023-01-29,53
2023-02-05,50
2023-02-12,49
2023-02-19,57
2023-02-26,55
2023-03-05,53
2023-03-12,54
2023-03-19,58
2023-03-26,59
2023-04-02,58
2023-04-09,69
2023-04-16,68
2023-04-23,65
2023-04-30,65
2023-05-07,69
2023-05-14,67
2023-05-21,71
2023-05-28,73
2023-06-04,64
2023-06-11,62
2023-06-18,61
2023-06-25,63
2023-07-02,65
2023-07-09,61
2023-07-16,60
2023-07-23,57
2023-07-30,57
2023-08-06,56
2023-08-13,55
2023-08-20,53
2023-08-27,54
2023-09-03,54
2023-09-10,52
2023-09-17,51
2023-09-24,51
2023-10-01,49
2023-10-08,53
2023-10-15,47
2023-10-22,47
2023-10-29,51
2023-11-05,53
2023-11-12,55
2023-11-19,72
2023-11-26,60
2023-12-03,52
2023-12-10,49
2023-12-17,48
2023-12-24,51
2023-12-31,55
2024-01-07,52
2024-01-14,51
2024-01-21,49
2024-01-28,54
2024-02-04,48
2024-02-11,45
2024-02-18,53
2024-02-25,53
2024-03-03,53
2024-03-10,55
2024-03-17,57
2024-03-24,63
2024-03-31,62
2024-04-07,59
2024-04-14,65
2024-04-21,63
2024-04-28,65
2024-05-05,64
2024-05-12,64
2024-05-19,74
2024-05-26,71
2024-06-02,62
2024-06-09,68
2024-06-16,67
2024-06-23,61
2024-06-30,68
2024-07-07,60
2024-07-14,57
2024-07-21,55
2024-07-28,55
2024-08-04,50
2024-08-11,57
2024-08-18,53
2024-08-25,57
2024-09-01,60
2024-09-08,56
2024-09-15,53
2024-09-22,52
2024-09-29,54
2024-10-06,56
2024-10-13,51
2024-10-20,53
2024-10-27,55
2024-11-03,55
2024-11-10,61
2024-11-17,62
2024-11-24,76
2024-12-01,63
2024-12-08,51
2024-12-15,50
2024-12-22,53
2024-12-29,59
2025-01-05,54
2025-01-12,52
2025-01-19,55
2025-01-26,55
2025-02-02,50
2025-02-09,48
2025-02-16,57
2025-02-23,62
2025-03-02,63
2025-03-09,58
2025-03-16,59
2025-03-23,66
2025-03-30,74
2025-04-06,64
2025-04-13,69
2025-04-20,70
2025-04-27,80
2025-05-04,76
2025-05-11,78
2025-05-18,77
2025-05-25,72
2025-06-01,82
2025-06-08,83
2025-06-15,83
2025-06-22,78
2025-06-29,82
2025-07-06,83
2025-07-13,77
2025-07-20,81
2025-07-27,100
