date,machine learning
2020-08-02,48
2020-08-09,53
2020-08-16,52
2020-08-23,50
2020-08-30,52
2020-09-06,53
2020-09-13,54
2020-09-20,52
2020-09-27,49
2020-10-04,49
2020-10-11,44
2020-10-18,45
2020-10-25,43
2020-11-01,40
2020-11-08,42
2020-11-15,44
2020-11-22,41
2020-11-29,44
2020-12-06,44
2020-12-13,41
2020-12-20,37
2020-12-27,34
2021-01-03,40
2021-01-10,42
2021-01-17,45
2021-01-24,43
2021-01-31,43
2021-02-07,42
2021-02-14,42
2021-02-21,47
2021-02-28,44
2021-03-07,43
2021-03-14,46
2021-03-21,43
2021-03-28,41
2021-04-04,44
2021-04-11,44
2021-04-18,45
2021-04-25,44
2021-05-02,47
2021-05-09,44
2021-05-16,43
2021-05-23,50
2021-05-30,45
2021-06-06,47
2021-06-13,46
2021-06-20,43
2021-06-27,44
2021-07-04,42
2021-07-11,45
2021-07-18,44
2021-07-25,43
2021-08-01,40
2021-08-08,40
2021-08-15,40
2021-08-22,42
2021-08-29,42
2021-09-05,43
2021-09-12,43
2021-09-19,45
2021-09-26,47
2021-10-03,46
2021-10-10,44
2021-10-17,47
2021-10-24,49
2021-10-31,43
2021-11-07,49
2021-11-14,51
2021-11-21,48
2021-11-28,51
2021-12-05,49
2021-12-12,46
2021-12-19,42
2021-12-26,37
2022-01-02,55
2022-01-09,61
2022-01-16,56
2022-01-23,61
2022-01-30,58
2022-02-06,65
2022-02-13,69
2022-02-20,70
2022-02-27,62
2022-03-06,70
2022-03-13,69
2022-03-20,74
2022-03-27,74
2022-04-03,75
2022-04-10,68
2022-04-17,78
2022-04-24,73
2022-05-01,71
2022-05-08,79
2022-05-15,69
2022-05-22,70
2022-05-29,62
2022-06-05,67
2022-06-12,70
2022-06-19,68
2022-06-26,64
2022-07-03,63
2022-07-10,63
2022-07-17,63
2022-07-24,62
2022-07-31,61
2022-08-07,60
2022-08-14,58
2022-08-21,66
2022-08-28,61
2022-09-04,62
2022-09-11,68
2022-09-18,71
2022-09-25,69
2022-10-02,63
2022-10-09,71
2022-10-16,70
2022-10-23,63
2022-10-30,70
2022-11-06,72
2022-11-13,76
2022-11-20,68
2022-11-27,69
2022-12-04,75
2022-12-11,71
2022-12-18,64
2022-12-25,56
2023-01-01,64
2023-01-08,69
2023-01-15,70
2023-01-22,74
2023-01-29,74
2023-02-05,73
2023-02-12,66
2023-02-19,71
2023-02-26,72
2023-03-05,70
2023-03-12,71
2023-03-19,70
2023-03-26,72
2023-04-02,66
2023-04-09,76
2023-04-16,68
2023-04-23,71
2023-04-30,74
2023-05-07,66
2023-05-14,72
2023-05-21,70
2023-05-28,67
2023-06-04,68
2023-06-11,67
2023-06-18,65
2023-06-25,65
2023-07-02,65
2023-07-09,71
2023-07-16,66
2023-07-23,67
2023-07-30,66
2023-08-06,63
2023-08-13,64
2023-08-20,66
2023-08-27,66
2023-09-03,69
2023-09-10,67
2023-09-17,70
2023-09-24,68
2023-10-01,70
2023-10-08,70
2023-10-15,67
2023-10-22,66
2023-10-29,72
2023-11-05,68
2023-11-12,65
2023-11-19,68
2023-11-26,74
2023-12-03,75
2023-12-10,73
2023-12-17,68
2023-12-24,54
2023-12-31,61
2024-01-07,68
2024-01-14,70
2024-01-21,75
2024-01-28,78
2024-02-04,78
2024-02-11,75
2024-02-18,76
2024-02-25,81
2024-03-03,73
2024-03-10,77
2024-03-17,80
2024-03-24,72
2024-03-31,75
2024-04-07,66
2024-04-14,77
2024-04-21,78
2024-04-28,78
2024-05-05,73
2024-05-12,74
2024-05-19,75
2024-05-26,74
2024-06-02,72
2024-06-09,76
2024-06-16,69
2024-06-23,70
2024-06-30,66
2024-07-07,66
2024-07-14,64
2024-07-21,69
2024-07-28,65
2024-08-04,64
2024-08-11,65
2024-08-18,65
2024-08-25,67
2024-09-01,68
2024-09-08,70
2024-09-15,71
2024-09-22,73
2024-09-29,69
2024-10-06,67
2024-10-13,72
2024-10-20,78
2024-10-27,67
2024-11-03,71
2024-11-10,73
2024-11-17,73
2024-11-24,71
2024-12-01,72
2024-12-08,74
2024-12-15,68
2024-12-22,55
2024-12-29,57
2025-01-05,74
2025-01-12,67
2025-01-19,72
2025-01-26,73
2025-02-02,74
2025-02-09,74
2025-02-16,76
2025-02-23,73
2025-03-02,72
2025-03-09,70
2025-03-16,75
2025-03-23,71
2025-03-30,67
2025-04-06,68
2025-04-13,66
2025-04-20,69
2025-04-27,71
2025-05-04,68
2025-05-11,72
2025-05-18,73
2025-05-25,70
2025-06-01,78
2025-06-08,87
2025-06-15,85
2025-06-22,87
2025-06-29,78
2025-07-06,73
2025-07-13,80
2025-07-20,89
2025-07-27,100
