date,Google Pixel 9 price
2020-08-02,2
2020-08-09,2
2020-08-16,1
2020-08-23,1
2020-08-30,2
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,0
2020-12-06,0
2020-12-13,1
2020-12-20,1
2020-12-27,1
2021-01-03,1
2021-01-10,0
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,0
2021-02-21,1
2021-02-28,0
2021-03-07,0
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,0
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,0
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,1
2021-09-26,1
2021-10-03,1
2021-10-10,0
2021-10-17,1
2021-10-24,1
2021-10-31,1
2021-11-07,1
2021-11-14,2
2021-11-21,1
2021-11-28,1
2021-12-05,1
2021-12-12,1
2021-12-19,1
2021-12-26,1
2022-01-02,2
2022-01-09,1
2022-01-16,1
2022-01-23,2
2022-01-30,1
2022-02-06,2
2022-02-13,1
2022-02-20,2
2022-02-27,1
2022-03-06,2
2022-03-13,2
2022-03-20,2
2022-03-27,1
2022-04-03,1
2022-04-10,1
2022-04-17,1
2022-04-24,1
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,1
2022-05-29,1
2022-06-05,1
2022-06-12,2
2022-06-19,1
2022-06-26,1
2022-07-03,1
2022-07-10,1
2022-07-17,1
2022-07-24,2
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,2
2022-09-18,2
2022-09-25,1
2022-10-02,1
2022-10-09,2
2022-10-16,2
2022-10-23,2
2022-10-30,1
2022-11-06,2
2022-11-13,2
2022-11-20,2
2022-11-27,1
2022-12-04,2
2022-12-11,1
2022-12-18,2
2022-12-25,2
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,1
2023-02-12,2
2023-02-19,2
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,1
2023-04-16,2
2023-04-23,1
2023-04-30,2
2023-05-07,1
2023-05-14,2
2023-05-21,2
2023-05-28,2
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,1
2023-08-27,1
2023-09-03,2
2023-09-10,1
2023-09-17,2
2023-09-24,2
2023-10-01,3
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,2
2023-12-03,2
2023-12-10,2
2023-12-17,2
2023-12-24,2
2023-12-31,2
2024-01-07,2
2024-01-14,3
2024-01-21,5
2024-01-28,4
2024-02-04,4
2024-02-11,5
2024-02-18,3
2024-02-25,3
2024-03-03,3
2024-03-10,3
2024-03-17,3
2024-03-24,5
2024-03-31,4
2024-04-07,3
2024-04-14,4
2024-04-21,3
2024-04-28,3
2024-05-05,4
2024-05-12,4
2024-05-19,3
2024-05-26,4
2024-06-02,4
2024-06-09,3
2024-06-16,4
2024-06-23,4
2024-06-30,5
2024-07-07,6
2024-07-14,7
2024-07-21,11
2024-07-28,23
2024-08-04,15
2024-08-11,100
2024-08-18,98
2024-08-25,91
2024-09-01,85
2024-09-08,77
2024-09-15,72
2024-09-22,57
2024-09-29,46
2024-10-06,39
2024-10-13,39
2024-10-20,37
2024-10-27,35
2024-11-03,30
2024-11-10,31
2024-11-17,33
2024-11-24,35
2024-12-01,30
2024-12-08,29
2024-12-15,30
2024-12-22,38
2024-12-29,34
2025-01-05,35
2025-01-12,35
2025-01-19,36
2025-01-26,32
2025-02-02,30
2025-02-09,28
2025-02-16,30
2025-02-23,27
2025-03-02,29
2025-03-09,30
2025-03-16,30
2025-03-23,27
2025-03-30,27
2025-04-06,29
2025-04-13,30
2025-04-20,31
2025-04-27,29
2025-05-04,28
2025-05-11,28
2025-05-18,27
2025-05-25,29
2025-06-01,27
2025-06-08,29
2025-06-15,29
2025-06-22,29
2025-06-29,30
2025-07-06,33
2025-07-13,35
2025-07-20,37
2025-07-27,49
