date,Wix
2020-08-02,82
2020-08-09,79
2020-08-16,82
2020-08-23,82
2020-08-30,84
2020-09-06,81
2020-09-13,81
2020-09-20,78
2020-09-27,76
2020-10-04,71
2020-10-11,67
2020-10-18,70
2020-10-25,65
2020-11-01,61
2020-11-08,67
2020-11-15,66
2020-11-22,65
2020-11-29,62
2020-12-06,61
2020-12-13,56
2020-12-20,48
2020-12-27,51
2021-01-03,65
2021-01-10,67
2021-01-17,70
2021-01-24,73
2021-01-31,68
2021-02-07,65
2021-02-14,65
2021-02-21,68
2021-02-28,65
2021-03-07,65
2021-03-14,66
2021-03-21,62
2021-03-28,60
2021-04-04,65
2021-04-11,65
2021-04-18,66
2021-04-25,65
2021-05-02,66
2021-05-09,64
2021-05-16,66
2021-05-23,62
2021-05-30,60
2021-06-06,61
2021-06-13,58
2021-06-20,54
2021-06-27,54
2021-07-04,53
2021-07-11,55
2021-07-18,52
2021-07-25,51
2021-08-01,48
2021-08-08,49
2021-08-15,54
2021-08-22,54
2021-08-29,54
2021-09-05,54
2021-09-12,61
2021-09-19,57
2021-09-26,58
2021-10-03,57
2021-10-10,56
2021-10-17,60
2021-10-24,58
2021-10-31,57
2021-11-07,62
2021-11-14,64
2021-11-21,60
2021-11-28,63
2021-12-05,60
2021-12-12,57
2021-12-19,44
2021-12-26,45
2022-01-02,80
2022-01-09,78
2022-01-16,73
2022-01-23,82
2022-01-30,84
2022-02-06,83
2022-02-13,86
2022-02-20,79
2022-02-27,77
2022-03-06,79
2022-03-13,81
2022-03-20,80
2022-03-27,88
2022-04-03,89
2022-04-10,76
2022-04-17,81
2022-04-24,85
2022-05-01,91
2022-05-08,94
2022-05-15,88
2022-05-22,87
2022-05-29,81
2022-06-05,81
2022-06-12,79
2022-06-19,77
2022-06-26,76
2022-07-03,73
2022-07-10,70
2022-07-17,72
2022-07-24,68
2022-07-31,69
2022-08-07,75
2022-08-14,67
2022-08-21,72
2022-08-28,73
2022-09-04,73
2022-09-11,76
2022-09-18,84
2022-09-25,73
2022-10-02,76
2022-10-09,75
2022-10-16,76
2022-10-23,74
2022-10-30,71
2022-11-06,81
2022-11-13,79
2022-11-20,70
2022-11-27,74
2022-12-04,73
2022-12-11,68
2022-12-18,60
2022-12-25,56
2023-01-01,75
2023-01-08,83
2023-01-15,81
2023-01-22,82
2023-01-29,80
2023-02-05,83
2023-02-12,76
2023-02-19,77
2023-02-26,82
2023-03-05,79
2023-03-12,81
2023-03-19,82
2023-03-26,79
2023-04-02,76
2023-04-09,78
2023-04-16,77
2023-04-23,81
2023-04-30,78
2023-05-07,79
2023-05-14,80
2023-05-21,78
2023-05-28,77
2023-06-04,80
2023-06-11,76
2023-06-18,75
2023-06-25,73
2023-07-02,69
2023-07-09,75
2023-07-16,73
2023-07-23,73
2023-07-30,75
2023-08-06,73
2023-08-13,71
2023-08-20,71
2023-08-27,72
2023-09-03,73
2023-09-10,74
2023-09-17,76
2023-09-24,73
2023-10-01,76
2023-10-08,72
2023-10-15,75
2023-10-22,80
2023-10-29,72
2023-11-05,79
2023-11-12,79
2023-11-19,76
2023-11-26,80
2023-12-03,76
2023-12-10,70
2023-12-17,67
2023-12-24,56
2023-12-31,71
2024-01-07,83
2024-01-14,80
2024-01-21,85
2024-01-28,93
2024-02-04,93
2024-02-11,85
2024-02-18,90
2024-02-25,91
2024-03-03,91
2024-03-10,90
2024-03-17,93
2024-03-24,87
2024-03-31,91
2024-04-07,91
2024-04-14,89
2024-04-21,86
2024-04-28,90
2024-05-05,87
2024-05-12,94
2024-05-19,89
2024-05-26,88
2024-06-02,83
2024-06-09,86
2024-06-16,77
2024-06-23,77
2024-06-30,78
2024-07-07,80
2024-07-14,78
2024-07-21,77
2024-07-28,73
2024-08-04,75
2024-08-11,76
2024-08-18,80
2024-08-25,82
2024-09-01,83
2024-09-08,85
2024-09-15,82
2024-09-22,85
2024-09-29,92
2024-10-06,81
2024-10-13,86
2024-10-20,83
2024-10-27,85
2024-11-03,82
2024-11-10,89
2024-11-17,91
2024-11-24,82
2024-12-01,88
2024-12-08,84
2024-12-15,78
2024-12-22,60
2024-12-29,70
2025-01-05,91
2025-01-12,94
2025-01-19,94
2025-01-26,90
2025-02-02,97
2025-02-09,94
2025-02-16,97
2025-02-23,93
2025-03-02,94
2025-03-09,95
2025-03-16,100
2025-03-23,95
2025-03-30,95
2025-04-06,93
2025-04-13,82
2025-04-20,85
2025-04-27,92
2025-05-04,90
2025-05-11,93
2025-05-18,94
2025-05-25,86
2025-06-01,94
2025-06-08,90
2025-06-15,86
2025-06-22,84
2025-06-29,85
2025-07-06,83
2025-07-13,86
2025-07-20,80
2025-07-27,86
