date,US aid to US
2020-08-02,9
2020-08-09,7
2020-08-16,5
2020-08-23,7
2020-08-30,7
2020-09-06,8
2020-09-13,9
2020-09-20,9
2020-09-27,11
2020-10-04,10
2020-10-11,9
2020-10-18,9
2020-10-25,9
2020-11-01,9
2020-11-08,9
2020-11-15,10
2020-11-22,7
2020-11-29,8
2020-12-06,10
2020-12-13,9
2020-12-20,15
2020-12-27,16
2021-01-03,10
2021-01-10,10
2021-01-17,11
2021-01-24,10
2021-01-31,10
2021-02-07,9
2021-02-14,9
2021-02-21,11
2021-02-28,11
2021-03-07,9
2021-03-14,9
2021-03-21,10
2021-03-28,10
2021-04-04,10
2021-04-11,11
2021-04-18,11
2021-04-25,18
2021-05-02,13
2021-05-09,21
2021-05-16,23
2021-05-23,12
2021-05-30,9
2021-06-06,9
2021-06-13,8
2021-06-20,6
2021-06-27,6
2021-07-04,7
2021-07-11,9
2021-07-18,6
2021-07-25,6
2021-08-01,6
2021-08-08,6
2021-08-15,9
2021-08-22,7
2021-08-29,9
2021-09-05,8
2021-09-12,9
2021-09-19,10
2021-09-26,9
2021-10-03,9
2021-10-10,10
2021-10-17,9
2021-10-24,9
2021-10-31,8
2021-11-07,10
2021-11-14,9
2021-11-21,7
2021-11-28,10
2021-12-05,11
2021-12-12,9
2021-12-19,6
2021-12-26,5
2022-01-02,9
2022-01-09,11
2022-01-16,10
2022-01-23,12
2022-01-30,11
2022-02-06,11
2022-02-13,13
2022-02-20,22
2022-02-27,28
2022-03-06,21
2022-03-13,25
2022-03-20,18
2022-03-27,22
2022-04-03,21
2022-04-10,19
2022-04-17,26
2022-04-24,25
2022-05-01,21
2022-05-08,26
2022-05-15,23
2022-05-22,18
2022-05-29,12
2022-06-05,12
2022-06-12,12
2022-06-19,12
2022-06-26,11
2022-07-03,9
2022-07-10,10
2022-07-17,9
2022-07-24,9
2022-07-31,9
2022-08-07,9
2022-08-14,10
2022-08-21,14
2022-08-28,12
2022-09-04,12
2022-09-11,14
2022-09-18,14
2022-09-25,15
2022-10-02,15
2022-10-09,15
2022-10-16,14
2022-10-23,15
2022-10-30,14
2022-11-06,15
2022-11-13,18
2022-11-20,11
2022-11-27,15
2022-12-04,15
2022-12-11,14
2022-12-18,17
2022-12-25,10
2023-01-01,13
2023-01-08,14
2023-01-15,15
2023-01-22,17
2023-01-29,17
2023-02-05,23
2023-02-12,17
2023-02-19,23
2023-02-26,22
2023-03-05,18
2023-03-12,15
2023-03-19,16
2023-03-26,18
2023-04-02,16
2023-04-09,18
2023-04-16,19
2023-04-23,18
2023-04-30,17
2023-05-07,22
2023-05-14,18
2023-05-21,15
2023-05-28,12
2023-06-04,12
2023-06-11,10
2023-06-18,10
2023-06-25,10
2023-07-02,10
2023-07-09,10
2023-07-16,11
2023-07-23,10
2023-07-30,10
2023-08-06,10
2023-08-13,13
2023-08-20,12
2023-08-27,12
2023-09-03,12
2023-09-10,14
2023-09-17,17
2023-09-24,17
2023-10-01,23
2023-10-08,44
2023-10-15,40
2023-10-22,27
2023-10-29,29
2023-11-05,26
2023-11-12,24
2023-11-19,14
2023-11-26,20
2023-12-03,25
2023-12-10,26
2023-12-17,18
2023-12-24,13
2023-12-31,14
2024-01-07,18
2024-01-14,18
2024-01-21,20
2024-01-28,23
2024-02-04,30
2024-02-11,33
2024-02-18,27
2024-02-25,31
2024-03-03,32
2024-03-10,27
2024-03-17,27
2024-03-24,23
2024-03-31,27
2024-04-07,27
2024-04-14,40
2024-04-21,54
2024-04-28,34
2024-05-05,30
2024-05-12,27
2024-05-19,20
2024-05-26,18
2024-06-02,15
2024-06-09,15
2024-06-16,13
2024-06-23,14
2024-06-30,12
2024-07-07,11
2024-07-14,12
2024-07-21,13
2024-07-28,12
2024-08-04,14
2024-08-11,15
2024-08-18,13
2024-08-25,13
2024-09-01,16
2024-09-08,17
2024-09-15,18
2024-09-22,20
2024-09-29,39
2024-10-06,31
2024-10-13,22
2024-10-20,21
2024-10-27,20
2024-11-03,30
2024-11-10,24
2024-11-17,22
2024-11-24,16
2024-12-01,21
2024-12-08,23
2024-12-15,17
2024-12-22,12
2024-12-29,11
2025-01-05,20
2025-01-12,20
2025-01-19,28
2025-01-26,48
2025-02-02,72
2025-02-09,55
2025-02-16,50
2025-02-23,72
2025-03-02,100
2025-03-09,40
2025-03-16,28
2025-03-23,24
2025-03-30,30
2025-04-06,25
2025-04-13,23
2025-04-20,22
2025-04-27,26
2025-05-04,27
2025-05-11,23
2025-05-18,22
2025-05-25,19
2025-06-01,19
2025-06-08,25
2025-06-15,30
2025-06-22,30
2025-06-29,23
2025-07-06,21
2025-07-13,22
2025-07-20,30
2025-07-27,48
