date,SolarEdge
2020-08-02,59
2020-08-09,51
2020-08-16,50
2020-08-23,50
2020-08-30,52
2020-09-06,46
2020-09-13,52
2020-09-20,51
2020-09-27,54
2020-10-04,64
2020-10-11,55
2020-10-18,55
2020-10-25,52
2020-11-01,80
2020-11-08,66
2020-11-15,57
2020-11-22,53
2020-11-29,54
2020-12-06,54
2020-12-13,55
2020-12-20,42
2020-12-27,38
2021-01-03,56
2021-01-10,66
2021-01-17,70
2021-01-24,64
2021-01-31,60
2021-02-07,62
2021-02-14,70
2021-02-21,68
2021-02-28,65
2021-03-07,61
2021-03-14,59
2021-03-21,56
2021-03-28,63
2021-04-04,58
2021-04-11,56
2021-04-18,62
2021-04-25,60
2021-05-02,61
2021-05-09,59
2021-05-16,58
2021-05-23,51
2021-05-30,52
2021-06-06,54
2021-06-13,57
2021-06-20,54
2021-06-27,58
2021-07-04,53
2021-07-11,54
2021-07-18,52
2021-07-25,49
2021-08-01,56
2021-08-08,47
2021-08-15,44
2021-08-22,43
2021-08-29,48
2021-09-05,48
2021-09-12,48
2021-09-19,46
2021-09-26,46
2021-10-03,63
2021-10-10,60
2021-10-17,57
2021-10-24,65
2021-10-31,65
2021-11-07,56
2021-11-14,52
2021-11-21,50
2021-11-28,49
2021-12-05,53
2021-12-12,50
2021-12-19,47
2021-12-26,38
2022-01-02,57
2022-01-09,65
2022-01-16,61
2022-01-23,64
2022-01-30,71
2022-02-06,74
2022-02-13,78
2022-02-20,71
2022-02-27,84
2022-03-06,92
2022-03-13,91
2022-03-20,91
2022-03-27,84
2022-04-03,82
2022-04-10,78
2022-04-17,77
2022-04-24,71
2022-05-01,75
2022-05-08,80
2022-05-15,72
2022-05-22,69
2022-05-29,74
2022-06-05,71
2022-06-12,75
2022-06-19,78
2022-06-26,75
2022-07-03,71
2022-07-10,75
2022-07-17,78
2022-07-24,78
2022-07-31,95
2022-08-07,81
2022-08-14,76
2022-08-21,77
2022-08-28,76
2022-09-04,79
2022-09-11,91
2022-09-18,84
2022-09-25,83
2022-10-02,84
2022-10-09,82
2022-10-16,87
2022-10-23,83
2022-10-30,82
2022-11-06,92
2022-11-13,75
2022-11-20,69
2022-11-27,70
2022-12-04,68
2022-12-11,67
2022-12-18,62
2022-12-25,55
2023-01-01,64
2023-01-08,70
2023-01-15,76
2023-01-22,79
2023-01-29,80
2023-02-05,84
2023-02-12,89
2023-02-19,86
2023-02-26,86
2023-03-05,77
2023-03-12,78
2023-03-19,84
2023-03-26,80
2023-04-02,77
2023-04-09,81
2023-04-16,77
2023-04-23,75
2023-04-30,86
2023-05-07,78
2023-05-14,74
2023-05-21,80
2023-05-28,77
2023-06-04,89
2023-06-11,73
2023-06-18,79
2023-06-25,76
2023-07-02,79
2023-07-09,79
2023-07-16,76
2023-07-23,79
2023-07-30,94
2023-08-06,85
2023-08-13,74
2023-08-20,78
2023-08-27,73
2023-09-03,78
2023-09-10,75
2023-09-17,75
2023-09-24,76
2023-10-01,82
2023-10-08,81
2023-10-15,90
2023-10-22,80
2023-10-29,81
2023-11-05,75
2023-11-12,68
2023-11-19,63
2023-11-26,66
2023-12-03,67
2023-12-10,66
2023-12-17,72
2023-12-24,45
2023-12-31,55
2024-01-07,70
2024-01-14,71
2024-01-21,81
2024-01-28,86
2024-02-04,77
2024-02-11,80
2024-02-18,83
2024-02-25,86
2024-03-03,80
2024-03-10,75
2024-03-17,79
2024-03-24,77
2024-03-31,70
2024-04-07,76
2024-04-14,77
2024-04-21,77
2024-04-28,71
2024-05-05,73
2024-05-12,76
2024-05-19,75
2024-05-26,68
2024-06-02,73
2024-06-09,74
2024-06-16,76
2024-06-23,93
2024-06-30,71
2024-07-07,74
2024-07-14,78
2024-07-21,72
2024-07-28,65
2024-08-04,70
2024-08-11,63
2024-08-18,62
2024-08-25,70
2024-09-01,67
2024-09-08,70
2024-09-15,67
2024-09-22,64
2024-09-29,65
2024-10-06,66
2024-10-13,64
2024-10-20,68
2024-10-27,63
2024-11-03,72
2024-11-10,69
2024-11-17,70
2024-11-24,66
2024-12-01,68
2024-12-08,67
2024-12-15,70
2024-12-22,44
2024-12-29,48
2025-01-05,70
2025-01-12,63
2025-01-19,66
2025-01-26,68
2025-02-02,73
2025-02-09,66
2025-02-16,81
2025-02-23,75
2025-03-02,77
2025-03-09,76
2025-03-16,81
2025-03-23,73
2025-03-30,79
2025-04-06,84
2025-04-13,70
2025-04-20,64
2025-04-27,68
2025-05-04,74
2025-05-11,83
2025-05-18,77
2025-05-25,72
2025-06-01,74
2025-06-08,72
2025-06-15,80
2025-06-22,77
2025-06-29,78
2025-07-06,70
2025-07-13,76
2025-07-20,89
2025-07-27,100
