date,Kindle price
2020-08-02,23
2020-08-09,23
2020-08-16,22
2020-08-23,19
2020-08-30,19
2020-09-06,20
2020-09-13,18
2020-09-20,18
2020-09-27,18
2020-10-04,19
2020-10-11,22
2020-10-18,17
2020-10-25,16
2020-11-01,15
2020-11-08,17
2020-11-15,21
2020-11-22,23
2020-11-29,21
2020-12-06,19
2020-12-13,20
2020-12-20,21
2020-12-27,22
2021-01-03,18
2021-01-10,18
2021-01-17,17
2021-01-24,16
2021-01-31,17
2021-02-07,15
2021-02-14,16
2021-02-21,16
2021-02-28,16
2021-03-07,15
2021-03-14,13
2021-03-21,15
2021-03-28,14
2021-04-04,15
2021-04-11,14
2021-04-18,17
2021-04-25,18
2021-05-02,17
2021-05-09,19
2021-05-16,20
2021-05-23,18
2021-05-30,21
2021-06-06,17
2021-06-13,16
2021-06-20,20
2021-06-27,17
2021-07-04,18
2021-07-11,16
2021-07-18,18
2021-07-25,19
2021-08-01,17
2021-08-08,18
2021-08-15,16
2021-08-22,17
2021-08-29,16
2021-09-05,18
2021-09-12,17
2021-09-19,15
2021-09-26,15
2021-10-03,17
2021-10-10,15
2021-10-17,17
2021-10-24,17
2021-10-31,17
2021-11-07,18
2021-11-14,17
2021-11-21,20
2021-11-28,20
2021-12-05,19
2021-12-12,17
2021-12-19,20
2021-12-26,25
2022-01-02,24
2022-01-09,24
2022-01-16,24
2022-01-23,22
2022-01-30,23
2022-02-06,21
2022-02-13,21
2022-02-20,20
2022-02-27,21
2022-03-06,17
2022-03-13,16
2022-03-20,19
2022-03-27,17
2022-04-03,18
2022-04-10,18
2022-04-17,17
2022-04-24,16
2022-05-01,19
2022-05-08,17
2022-05-15,16
2022-05-22,18
2022-05-29,21
2022-06-05,18
2022-06-12,23
2022-06-19,23
2022-06-26,20
2022-07-03,22
2022-07-10,26
2022-07-17,22
2022-07-24,22
2022-07-31,21
2022-08-07,20
2022-08-14,21
2022-08-21,21
2022-08-28,20
2022-09-04,19
2022-09-11,21
2022-09-18,20
2022-09-25,22
2022-10-02,21
2022-10-09,21
2022-10-16,18
2022-10-23,20
2022-10-30,19
2022-11-06,21
2022-11-13,22
2022-11-20,24
2022-11-27,23
2022-12-04,19
2022-12-11,22
2022-12-18,22
2022-12-25,27
2023-01-01,25
2023-01-08,22
2023-01-15,22
2023-01-22,20
2023-01-29,21
2023-02-05,19
2023-02-12,19
2023-02-19,18
2023-02-26,19
2023-03-05,18
2023-03-12,18
2023-03-19,18
2023-03-26,16
2023-04-02,18
2023-04-09,16
2023-04-16,17
2023-04-23,18
2023-04-30,18
2023-05-07,20
2023-05-14,20
2023-05-21,20
2023-05-28,21
2023-06-04,22
2023-06-11,22
2023-06-18,24
2023-06-25,23
2023-07-02,25
2023-07-09,31
2023-07-16,26
2023-07-23,23
2023-07-30,24
2023-08-06,24
2023-08-13,21
2023-08-20,23
2023-08-27,22
2023-09-03,20
2023-09-10,19
2023-09-17,23
2023-09-24,21
2023-10-01,22
2023-10-08,24
2023-10-15,20
2023-10-22,20
2023-10-29,21
2023-11-05,22
2023-11-12,24
2023-11-19,26
2023-11-26,26
2023-12-03,24
2023-12-10,27
2023-12-17,26
2023-12-24,32
2023-12-31,32
2024-01-07,25
2024-01-14,22
2024-01-21,22
2024-01-28,22
2024-02-04,24
2024-02-11,20
2024-02-18,21
2024-02-25,21
2024-03-03,20
2024-03-10,19
2024-03-17,22
2024-03-24,23
2024-03-31,23
2024-04-07,20
2024-04-14,20
2024-04-21,21
2024-04-28,21
2024-05-05,23
2024-05-12,22
2024-05-19,22
2024-05-26,20
2024-06-02,20
2024-06-09,22
2024-06-16,23
2024-06-23,23
2024-06-30,26
2024-07-07,27
2024-07-14,34
2024-07-21,26
2024-07-28,24
2024-08-04,25
2024-08-11,25
2024-08-18,26
2024-08-25,22
2024-09-01,23
2024-09-08,22
2024-09-15,20
2024-09-22,22
2024-09-29,22
2024-10-06,24
2024-10-13,32
2024-10-20,26
2024-10-27,28
2024-11-03,25
2024-11-10,25
2024-11-17,28
2024-11-24,29
2024-12-01,28
2024-12-08,26
2024-12-15,28
2024-12-22,35
2024-12-29,33
2025-01-05,29
2025-01-12,26
2025-01-19,26
2025-01-26,30
2025-02-02,25
2025-02-09,25
2025-02-16,23
2025-02-23,22
2025-03-02,20
2025-03-09,19
2025-03-16,23
2025-03-23,25
2025-03-30,24
2025-04-06,22
2025-04-13,21
2025-04-20,20
2025-04-27,21
2025-05-04,21
2025-05-11,22
2025-05-18,20
2025-05-25,21
2025-06-01,27
2025-06-08,27
2025-06-15,27
2025-06-22,28
2025-06-29,27
2025-07-06,37
2025-07-13,40
2025-07-20,59
2025-07-27,100
