date,Snapchat stock price
2020-08-02,31
2020-08-09,28
2020-08-16,17
2020-08-23,26
2020-08-30,28
2020-09-06,23
2020-09-13,29
2020-09-20,28
2020-09-27,30
2020-10-04,25
2020-10-11,21
2020-10-18,68
2020-10-25,49
2020-11-01,34
2020-11-08,41
2020-11-15,42
2020-11-22,30
2020-11-29,32
2020-12-06,38
2020-12-13,38
2020-12-20,30
2020-12-27,36
2021-01-03,32
2021-01-10,47
2021-01-17,37
2021-01-24,46
2021-01-31,61
2021-02-07,41
2021-02-14,28
2021-02-21,43
2021-02-28,35
2021-03-07,29
2021-03-14,23
2021-03-21,23
2021-03-28,29
2021-04-04,31
2021-04-11,28
2021-04-18,31
2021-04-25,28
2021-05-02,26
2021-05-09,25
2021-05-16,22
2021-05-23,27
2021-05-30,21
2021-06-06,20
2021-06-13,21
2021-06-20,24
2021-06-27,28
2021-07-04,16
2021-07-11,16
2021-07-18,31
2021-07-25,29
2021-08-01,21
2021-08-08,26
2021-08-15,21
2021-08-22,16
2021-08-29,20
2021-09-05,20
2021-09-12,18
2021-09-19,18
2021-09-26,22
2021-10-03,26
2021-10-10,16
2021-10-17,47
2021-10-24,48
2021-10-31,30
2021-11-07,22
2021-11-14,29
2021-11-21,19
2021-11-28,27
2021-12-05,23
2021-12-12,17
2021-12-19,19
2021-12-26,20
2022-01-02,20
2022-01-09,19
2022-01-16,18
2022-01-23,27
2022-01-30,79
2022-02-06,40
2022-02-13,24
2022-02-20,17
2022-02-27,18
2022-03-06,21
2022-03-13,18
2022-03-20,17
2022-03-27,22
2022-04-03,23
2022-04-10,22
2022-04-17,24
2022-04-24,22
2022-05-01,19
2022-05-08,21
2022-05-15,16
2022-05-22,76
2022-05-29,29
2022-06-05,21
2022-06-12,34
2022-06-19,18
2022-06-26,18
2022-07-03,19
2022-07-10,16
2022-07-17,48
2022-07-24,29
2022-07-31,24
2022-08-07,28
2022-08-14,20
2022-08-21,13
2022-08-28,23
2022-09-04,17
2022-09-11,18
2022-09-18,17
2022-09-25,18
2022-10-02,16
2022-10-09,15
2022-10-16,28
2022-10-23,27
2022-10-30,20
2022-11-06,21
2022-11-13,20
2022-11-20,11
2022-11-27,11
2022-12-04,10
2022-12-11,13
2022-12-18,12
2022-12-25,11
2023-01-01,13
2023-01-08,11
2023-01-15,13
2023-01-22,11
2023-01-29,18
2023-02-05,11
2023-02-12,11
2023-02-19,9
2023-02-26,16
2023-03-05,12
2023-03-12,14
2023-03-19,11
2023-03-26,10
2023-04-02,14
2023-04-09,12
2023-04-16,14
2023-04-23,16
2023-04-30,13
2023-05-07,9
2023-05-14,7
2023-05-21,11
2023-05-28,9
2023-06-04,10
2023-06-11,9
2023-06-18,5
2023-06-25,8
2023-07-02,7
2023-07-09,15
2023-07-16,7
2023-07-23,13
2023-07-30,7
2023-08-06,9
2023-08-13,6
2023-08-20,7
2023-08-27,8
2023-09-03,7
2023-09-10,7
2023-09-17,10
2023-09-24,8
2023-10-01,5
2023-10-08,6
2023-10-15,11
2023-10-22,9
2023-10-29,7
2023-11-05,8
2023-11-12,6
2023-11-19,5
2023-11-26,8
2023-12-03,9
2023-12-10,16
2023-12-17,14
2023-12-24,9
2023-12-31,9
2024-01-07,8
2024-01-14,10
2024-01-21,9
2024-01-28,11
2024-02-04,24
2024-02-11,16
2024-02-18,9
2024-02-25,8
2024-03-03,12
2024-03-10,13
2024-03-17,12
2024-03-24,9
2024-03-31,9
2024-04-07,8
2024-04-14,9
2024-04-21,19
2024-04-28,14
2024-05-05,11
2024-05-12,10
2024-05-19,7
2024-05-26,5
2024-06-02,6
2024-06-09,5
2024-06-16,7
2024-06-23,0
2024-06-30,5
2024-07-07,5
2024-07-14,8
2024-07-21,6
2024-07-28,14
2024-08-04,14
2024-08-11,5
2024-08-18,7
2024-08-25,7
2024-09-01,5
2024-09-08,8
2024-09-15,9
2024-09-22,9
2024-09-29,7
2024-10-06,6
2024-10-13,12
2024-10-20,9
2024-10-27,12
2024-11-03,14
2024-11-10,9
2024-11-17,10
2024-11-24,8
2024-12-01,11
2024-12-08,9
2024-12-15,9
2024-12-22,0
2024-12-29,8
2025-01-05,8
2025-01-12,10
2025-01-19,11
2025-01-26,12
2025-02-02,10
2025-02-09,6
2025-02-16,8
2025-02-23,7
2025-03-02,7
2025-03-09,0
2025-03-16,6
2025-03-23,5
2025-03-30,15
2025-04-06,11
2025-04-13,9
2025-04-20,10
2025-04-27,10
2025-05-04,8
2025-05-11,6
2025-05-18,7
2025-05-25,6
2025-06-01,8
2025-06-08,8
2025-06-15,6
2025-06-22,6
2025-06-29,12
2025-07-06,6
2025-07-13,22
2025-07-20,42
2025-07-27,100
