date,euro index
2020-08-02,30
2020-08-09,26
2020-08-16,27
2020-08-23,25
2020-08-30,30
2020-09-06,27
2020-09-13,26
2020-09-20,28
2020-09-27,24
2020-10-04,24
2020-10-11,23
2020-10-18,25
2020-10-25,28
2020-11-01,27
2020-11-08,33
2020-11-15,28
2020-11-22,29
2020-11-29,29
2020-12-06,28
2020-12-13,27
2020-12-20,27
2020-12-27,27
2021-01-03,34
2021-01-10,30
2021-01-17,28
2021-01-24,27
2021-01-31,30
2021-02-07,28
2021-02-14,28
2021-02-21,28
2021-02-28,30
2021-03-07,28
2021-03-14,26
2021-03-21,28
2021-03-28,25
2021-04-04,25
2021-04-11,27
2021-04-18,28
2021-04-25,25
2021-05-02,25
2021-05-09,29
2021-05-16,27
2021-05-23,26
2021-05-30,31
2021-06-06,46
2021-06-13,58
2021-06-20,66
2021-06-27,57
2021-07-04,43
2021-07-11,31
2021-07-18,26
2021-07-25,25
2021-08-01,22
2021-08-08,23
2021-08-15,23
2021-08-22,24
2021-08-29,24
2021-09-05,22
2021-09-12,24
2021-09-19,25
2021-09-26,28
2021-10-03,29
2021-10-10,25
2021-10-17,27
2021-10-24,25
2021-10-31,25
2021-11-07,28
2021-11-14,27
2021-11-21,31
2021-11-28,35
2021-12-05,27
2021-12-12,28
2021-12-19,26
2021-12-26,23
2022-01-02,33
2022-01-09,33
2022-01-16,31
2022-01-23,38
2022-01-30,33
2022-02-06,35
2022-02-13,31
2022-02-20,61
2022-02-27,77
2022-03-06,72
2022-03-13,47
2022-03-20,44
2022-03-27,41
2022-04-03,41
2022-04-10,31
2022-04-17,34
2022-04-24,41
2022-05-01,40
2022-05-08,46
2022-05-15,40
2022-05-22,40
2022-05-29,39
2022-06-05,35
2022-06-12,51
2022-06-19,38
2022-06-26,41
2022-07-03,55
2022-07-10,65
2022-07-17,53
2022-07-24,43
2022-07-31,41
2022-08-07,39
2022-08-14,41
2022-08-21,47
2022-08-28,41
2022-09-04,46
2022-09-11,47
2022-09-18,53
2022-09-25,69
2022-10-02,53
2022-10-09,53
2022-10-16,47
2022-10-23,49
2022-10-30,47
2022-11-06,46
2022-11-13,46
2022-11-20,36
2022-11-27,37
2022-12-04,38
2022-12-11,39
2022-12-18,35
2022-12-25,36
2023-01-01,49
2023-01-08,46
2023-01-15,37
2023-01-22,41
2023-01-29,42
2023-02-05,40
2023-02-12,36
2023-02-19,36
2023-02-26,38
2023-03-05,37
2023-03-12,52
2023-03-19,50
2023-03-26,47
2023-04-02,39
2023-04-09,35
2023-04-16,39
2023-04-23,35
2023-04-30,31
2023-05-07,34
2023-05-14,33
2023-05-21,36
2023-05-28,29
2023-06-04,33
2023-06-11,38
2023-06-18,39
2023-06-25,34
2023-07-02,35
2023-07-09,40
2023-07-16,38
2023-07-23,37
2023-07-30,36
2023-08-06,35
2023-08-13,35
2023-08-20,33
2023-08-27,33
2023-09-03,35
2023-09-10,36
2023-09-17,34
2023-09-24,32
2023-10-01,37
2023-10-08,37
2023-10-15,42
2023-10-22,31
2023-10-29,31
2023-11-05,32
2023-11-12,37
2023-11-19,38
2023-11-26,36
2023-12-03,36
2023-12-10,36
2023-12-17,34
2023-12-24,28
2023-12-31,34
2024-01-07,33
2024-01-14,36
2024-01-21,38
2024-01-28,31
2024-02-04,29
2024-02-11,30
2024-02-18,31
2024-02-25,28
2024-03-03,31
2024-03-10,29
2024-03-17,30
2024-03-24,29
2024-03-31,28
2024-04-07,28
2024-04-14,29
2024-04-21,24
2024-04-28,27
2024-05-05,24
2024-05-12,26
2024-05-19,27
2024-05-26,26
2024-06-02,32
2024-06-09,43
2024-06-16,61
2024-06-23,61
2024-06-30,56
2024-07-07,44
2024-07-14,31
2024-07-21,29
2024-07-28,27
2024-08-04,43
2024-08-11,29
2024-08-18,27
2024-08-25,27
2024-09-01,27
2024-09-08,29
2024-09-15,29
2024-09-22,29
2024-09-29,32
2024-10-06,30
2024-10-13,28
2024-10-20,29
2024-10-27,30
2024-11-03,37
2024-11-10,39
2024-11-17,33
2024-11-24,33
2024-12-01,37
2024-12-08,32
2024-12-15,31
2024-12-22,24
2024-12-29,28
2025-01-05,33
2025-01-12,34
2025-01-19,34
2025-01-26,35
2025-02-02,39
2025-02-09,33
2025-02-16,36
2025-02-23,34
2025-03-02,49
2025-03-09,50
2025-03-16,43
2025-03-23,38
2025-03-30,63
2025-04-06,100
2025-04-13,49
2025-04-20,57
2025-04-27,43
2025-05-04,37
2025-05-11,42
2025-05-18,37
2025-05-25,36
2025-06-01,40
2025-06-08,39
2025-06-15,40
2025-06-22,40
2025-06-29,45
2025-07-06,39
2025-07-13,45
2025-07-20,60
2025-07-27,88
